Timestamp,NCPR,LYXN,TRNQ,EMUX,KRYA,FMSG,NCSA,GIRN,MDRN,BELL
2026-01-26 09:30,82.5,145.2,33.8,210.1,58.4,17.25,96.1,41.7,122.8,27.9
2026-01-26 09:40,82.59,145.17,33.87,210.68,58.37,17.24,96.39,41.79,122.72,27.96
2026-01-26 09:50,82.51,145.07,33.9,209.96,58.13,17.2,96.21,41.83,122.55,27.82
2026-01-26 10:00,82.76,145.02,33.91,209.42,58.06,17.21,96.0,41.87,122.45,27.79
2026-01-26 10:10,82.66,145.45,33.91,209.03,58.18,17.12,96.05,41.65,122.21,27.81
2026-01-26 10:20,82.79,145.5,33.9,208.92,57.98,17.08,95.97,41.78,122.27,27.64
2026-01-26 10:30,82.85,145.41,33.83,209.16,58.12,17.14,95.82,41.74,122.34,27.74
2026-01-26 10:40,82.77,145.37,33.72,208.71,58.24,17.24,95.81,41.86,122.41,27.68
2026-01-26 10:50,82.84,145.74,33.71,209.3,57.88,17.3,95.83,41.83,122.43,27.48
2026-01-26 11:00,82.8,145.82,33.88,209.11,57.77,17.26,96.0,41.87,122.33,27.54
2026-01-26 11:10,82.82,146.05,33.8,208.99,57.72,17.16,96.06,41.9,122.34,27.52
2026-01-26 11:20,82.59,145.96,33.77,208.69,57.7,17.19,96.4,41.92,122.39,27.51
2026-01-26 11:30,82.28,145.96,33.78,209.62,57.67,17.21,96.4,41.8,122.6,27.59
2026-01-26 11:40,82.42,145.75,33.93,209.1,57.76,17.37,96.22,41.73,122.63,27.54
2026-01-26 11:50,82.16,145.77,33.82,209.28,57.64,17.48,96.08,41.7,122.78,27.42
2026-01-26 12:00,82.21,146.08,33.65,209.35,57.67,17.53,95.86,41.56,122.88,27.45
2026-01-26 12:10,82.25,146.17,33.58,209.45,57.72,17.48,96.21,41.61,122.66,27.52
2026-01-26 12:20,82.1,146.35,33.7,209.14,57.86,17.51,96.36,41.83,122.62,27.45
2026-01-26 12:30,81.95,146.17,33.7,209.27,57.9,17.57,96.37,41.99,122.58,27.72
2026-01-26 12:40,82.06,145.97,33.59,209.46,57.87,17.62,96.46,41.99,122.42,27.57
2026-01-26 12:50,81.99,146.18,33.61,208.99,57.9,17.65,96.3,42.01,122.44,27.46
2026-01-26 13:00,82.05,146.31,33.73,209.39,57.71,17.59,96.4,42.07,122.54,27.85
2026-01-26 13:10,82.15,146.58,33.84,209.64,57.67,17.64,96.26,42.05,122.45,27.86
2026-01-26 13:20,82.54,146.15,33.91,209.04,57.61,17.72,96.27,41.93,122.32,27.93
2026-01-26 13:30,82.42,146.2,33.92,208.8,57.91,17.77,95.91,41.95,122.21,28.02
2026-01-26 13:40,82.29,146.18,33.98,209.13,57.74,17.75,95.83,41.88,122.53,28.06
2026-01-26 13:50,82.09,146.4,34.21,209.52,57.54,17.71,96.06,41.8,122.62,28.14
2026-01-26 14:00,81.94,146.39,33.86,209.14,57.51,17.63,96.36,41.64,122.54,28.16
2026-01-26 14:10,82.18,146.06,33.99,209.15,57.37,17.66,96.4,41.58,122.56,28.12
2026-01-26 14:20,82.2,146.22,34.16,208.68,57.67,17.53,96.38,41.65,122.61,28.06
2026-01-26 14:30,82.17,146.11,34.1,209.01,57.72,17.48,96.55,41.69,122.77,28.13
2026-01-26 14:40,82.04,145.98,34.19,209.24,57.72,17.49,96.78,41.62,122.87,28.11
2026-01-26 14:50,82.01,146.24,34.28,209.55,57.91,17.49,96.91,41.59,122.93,28.1
2026-01-26 15:00,82.03,146.38,34.19,210.35,57.77,17.41,97.13,41.68,123.05,28.17
2026-01-26 15:10,82.03,146.18,34.2,210.09,57.91,17.4,96.98,41.65,123.13,28.11
2026-01-26 15:20,81.9,146.24,34.23,209.91,57.85,17.42,96.72,41.49,123.0,28.09
2026-01-26 15:30,81.96,146.59,34.33,209.85,57.85,17.35,96.72,41.46,123.07,28.01
2026-01-26 15:40,82.05,146.95,34.32,210.01,57.95,17.32,96.77,41.47,123.09,27.94
2026-01-26 15:50,82.05,147.08,34.48,210.37,58.25,17.27,96.93,41.49,123.5,27.86
2026-01-26 16:00,81.92,146.94,34.25,210.18,58.15,17.28,97.0,41.71,123.68,27.8
2026-01-27 09:30,81.78,147.06,34.11,210.88,58.32,17.25,96.68,41.86,123.66,27.93
2026-01-27 09:40,81.52,146.92,34.11,210.9,58.26,17.3,96.49,41.85,123.69,27.98
2026-01-27 09:50,81.64,146.66,33.95,211.39,58.31,17.25,96.78,41.86,123.91,27.99
2026-01-27 10:00,81.98,147.08,33.92,211.76,58.4,17.34,96.61,41.94,124.11,27.82
2026-01-27 10:10,81.79,146.6,33.9,212.04,58.62,17.35,96.91,41.79,123.79,27.82
2026-01-27 10:20,81.86,146.6,33.68,212.01,58.44,17.4,96.98,41.69,123.7,27.71
2026-01-27 10:30,81.85,146.83,33.57,212.2,58.36,17.34,96.97,41.57,123.6,27.6
2026-01-27 10:40,82.18,146.84,33.5,212.29,58.35,17.33,97.08,41.66,123.51,27.54
2026-01-27 10:50,82.14,146.3,33.34,212.82,58.59,17.31,97.19,41.7,124.08,27.66
2026-01-27 11:00,82.12,146.09,33.17,212.9,58.48,17.22,97.08,41.58,124.4,27.75
2026-01-27 11:10,82.12,146.44,33.18,212.57,58.7,17.26,96.89,41.56,124.24,27.61
2026-01-27 11:20,82.28,146.89,33.04,212.79,58.61,17.22,96.78,41.47,124.25,27.53
2026-01-27 11:30,82.33,146.88,33.01,212.45,58.54,17.28,96.88,41.36,124.28,27.61
2026-01-27 11:40,82.06,147.01,32.95,212.67,58.43,17.15,96.58,41.37,124.33,27.52
2026-01-27 11:50,82.17,146.63,32.94,212.21,58.34,17.16,96.43,41.33,124.52,27.47
2026-01-27 12:00,82.31,146.36,33.0,212.77,58.0,17.11,96.54,41.31,124.59,27.41
2026-01-27 12:10,82.33,146.33,33.13,212.87,58.05,17.08,96.45,41.27,124.67,27.37
2026-01-27 12:20,82.38,146.82,33.22,212.75,58.22,17.05,96.08,41.16,124.32,27.34
2026-01-27 12:30,82.38,147.22,33.26,212.67,58.34,16.9,96.13,41.24,124.05,27.45
2026-01-27 12:40,82.44,147.13,33.33,213.54,58.37,16.92,96.05,41.15,124.21,27.37
2026-01-27 12:50,82.46,147.02,33.38,213.68,58.52,16.89,96.01,41.05,124.13,27.41
2026-01-27 13:00,82.59,146.81,33.48,214.2,58.58,17.02,95.87,40.91,123.8,27.56
2026-01-27 13:10,82.7,146.8,33.51,213.77,58.93,17.03,95.89,40.99,123.9,27.59
2026-01-27 13:20,82.57,146.91,33.72,214.29,59.16,16.99,95.72,40.98,123.91,27.7
2026-01-27 13:30,82.3,147.28,33.7,214.13,59.02,16.88,95.87,40.99,123.68,27.57
2026-01-27 13:40,82.25,147.68,33.68,213.56,58.99,16.87,95.38,40.99,123.64,27.64
2026-01-27 13:50,82.56,147.95,33.65,213.14,59.35,16.87,95.39,40.99,123.68,27.63
2026-01-27 14:00,82.47,147.82,33.65,212.93,59.26,16.88,95.35,41.16,123.19,27.74
